year,crop,acres_harvested,ears_per_acre,plant_pop,production_dollars,bu_per_acre
1904,CORN_GRAIN,955e4,NA,NA,NA,39
1904,FLAXSEED,25e3,NA,NA,NA,10.5
1904,OATS,46e5,NA,NA,NA,32
1904,RYE,63e3,NA,NA,NA,14.5
1904,WHEAT,52e4,NA,NA,NA,12
1905,BARLEY,56e4,NA,NA,NA,26
1905,CORN_GRAIN,96e5,NA,NA,NA,41.5
1905,FLAXSEED,18e3,NA,NA,NA,9.5
1905,OATS,462e4,NA,NA,NA,37
1905,RYE,6e4,NA,NA,NA,17
1905,WHEAT,525e3,NA,NA,NA,16.3
1906,BARLEY,55e4,NA,NA,NA,26
1906,CORN_GRAIN,965e4,NA,NA,NA,45.5
1906,FLAXSEED,19e3,NA,NA,NA,10
1906,OATS,462e4,NA,NA,NA,34.5
1906,RYE,56e3,NA,NA,NA,17
1906,WHEAT,56e4,NA,NA,NA,17.6
1907,BARLEY,55e4,NA,NA,NA,23
1907,CORN_GRAIN,97e5,NA,NA,NA,35
1907,FLAXSEED,43e3,NA,NA,NA,10
1907,OATS,473e4,NA,NA,NA,25.5
1907,RYE,53e3,NA,NA,NA,16.5
1907,WHEAT,54e4,NA,NA,NA,15
1908,BARLEY,565e3,NA,NA,NA,24
1908,CORN_GRAIN,935e4,NA,NA,NA,38
1908,FLAXSEED,41e3,NA,NA,NA,10.5
1908,OATS,488e4,NA,NA,NA,25.5
1908,RYE,5e4,NA,NA,NA,16.5
1908,WHEAT,547e3,NA,NA,NA,16.9
1909,BARLEY,571e3,NA,NA,NA,19
1909,CORN_GRAIN,9401e3,NA,NA,NA,37.1
1909,FLAXSEED,16e3,NA,NA,NA,9.1
1909,HAY,4869e3,NA,NA,NA,NA
1909,OATS,4655e3,NA,NA,NA,27.5
1909,RYE,42e3,NA,NA,NA,14
1909,WHEAT,527e3,NA,NA,NA,15.3
1910,BARLEY,485e3,NA,NA,NA,29.5
1910,CORN_GRAIN,953e4,NA,NA,NA,41.5
1910,FLAXSEED,2e4,NA,NA,NA,8.5
1910,HAY,4684e3,NA,NA,NA,NA
1910,OATS,51e5,NA,NA,NA,37.5
1910,RYE,35e3,NA,NA,NA,14.5
1910,WHEAT,558e3,NA,NA,NA,19.3
1911,BARLEY,45e4,NA,NA,NA,19.5
1911,CORN_GRAIN,985e4,NA,NA,NA,35.5
1911,FLAXSEED,39e3,NA,NA,NA,8
1911,HAY,4388e3,NA,NA,NA,NA
1911,OATS,505e4,NA,NA,NA,26
1911,RYE,34e3,NA,NA,NA,15
1911,WHEAT,68e4,NA,NA,NA,16.1
1912,BARLEY,405e3,NA,NA,NA,30
1912,CORN_GRAIN,992e4,NA,NA,NA,46
1912,FLAXSEED,37e3,NA,NA,NA,11.5
1912,HAY,43e5,NA,NA,NA,NA
1912,OATS,505e4,NA,NA,NA,43
1912,RYE,45e3,NA,NA,NA,16
1912,WHEAT,84e4,NA,NA,NA,21
1913,BARLEY,37e4,NA,NA,NA,23
1913,CORN_GRAIN,972e4,NA,NA,NA,37.5
1913,FLAXSEED,22e3,NA,NA,NA,10
1913,HAY,4276e3,NA,NA,NA,NA
1913,OATS,515e4,NA,NA,NA,33.5
1913,RYE,7e4,NA,NA,NA,15
1913,WHEAT,892e3,NA,NA,NA,20.4
1914,BARLEY,325e3,NA,NA,NA,25.5
1914,CORN_GRAIN,985e4,NA,NA,NA,40.5
1914,FLAXSEED,16e3,NA,NA,NA,11
1914,HAY,4156e3,NA,NA,NA,NA
1914,OATS,52e5,NA,NA,NA,33.5
1914,RYE,72e3,NA,NA,NA,15.5
1914,WHEAT,92e4,NA,NA,NA,18.9
1915,BARLEY,285e3,NA,NA,NA,28.5
1915,CORN_GRAIN,99e5,NA,NA,NA,32.5
1915,FLAXSEED,14e3,NA,NA,NA,9.5
1915,HAY,4059e3,NA,NA,NA,NA
1915,OATS,515e4,NA,NA,NA,39.5
1915,RYE,7e4,NA,NA,NA,15
1915,WHEAT,947e3,NA,NA,NA,19.9
1916,BARLEY,265e3,NA,NA,NA,29
1916,CORN_GRAIN,98e5,NA,NA,NA,38
1916,FLAXSEED,9e3,NA,NA,NA,8.5
1916,HAY,416e4,NA,NA,NA,NA
1916,OATS,525e4,NA,NA,NA,36.5
1916,RYE,64e3,NA,NA,NA,13
1916,WHEAT,508e3,NA,NA,NA,15.1
1917,BARLEY,3e5,NA,NA,NA,32
1917,CORN_GRAIN,105e5,NA,NA,NA,38.5
1917,FLAXSEED,1e4,NA,NA,NA,10
1917,HAY,368e4,NA,NA,NA,NA
1917,OATS,545e4,NA,NA,NA,47
1917,RYE,7e4,NA,NA,NA,14.5
1917,WHEAT,36e4,NA,NA,NA,17.7
1918,BARLEY,45e4,NA,NA,NA,28.5
1918,CORN_GRAIN,98e5,NA,NA,NA,37
1918,FLAXSEED,13e3,NA,NA,NA,8.5
1918,HAY,3485e3,NA,NA,NA,NA
1918,OATS,585e4,NA,NA,NA,41.5
1918,RYE,84e3,NA,NA,NA,15.5
1918,WHEAT,106e4,NA,NA,NA,19
1919,BARLEY,236e3,NA,NA,NA,23
1919,CORN_GRAIN,8869e3,NA,NA,NA,41.6
1919,FLAXSEED,12e3,NA,NA,NA,7.5
1919,HAY,3567e3,NA,NA,NA,NA
1919,OATS,5725e3,NA,NA,NA,34.1
1919,RYE,89e3,NA,NA,NA,14
1919,WHEAT,1438e3,NA,NA,NA,14.3
1920,BARLEY,18e4,NA,NA,NA,26.5
1920,CORN_GRAIN,9229e3,NA,NA,NA,46
1920,FLAXSEED,11e3,NA,NA,NA,9.5
1920,HAY,3768e3,NA,NA,NA,NA
1920,OATS,601e4,NA,NA,NA,39
1920,RYE,39e3,NA,NA,NA,15.5
1920,WHEAT,613e3,NA,NA,NA,17.4
1921,BARLEY,137e3,NA,NA,NA,22.5
1921,CORN_GRAIN,9226e3,NA,NA,NA,43
1921,FLAXSEED,8e3,NA,NA,NA,8.5
1921,HAY,3761e3,NA,NA,NA,NA
1921,OATS,649e4,NA,NA,NA,26
1921,RYE,38e3,NA,NA,NA,15.5
1921,WHEAT,563e3,NA,NA,NA,17.9
1922,BARLEY,165e3,NA,NA,NA,27
1922,CORN_GRAIN,8787e3,NA,NA,NA,45
1922,FLAXSEED,8e3,NA,NA,NA,9.5
1922,HAY,3929e3,NA,NA,NA,NA
1922,OATS,6035e3,NA,NA,NA,37.1
1922,RYE,55e3,NA,NA,NA,18.5
1922,WHEAT,739e3,NA,NA,NA,22.5
1923,BARLEY,162e3,NA,NA,NA,27
1923,CORN_GRAIN,9006e3,NA,NA,NA,40.5
1923,FLAXSEED,7e3,NA,NA,NA,9
1923,HAY,369e4,NA,NA,NA,NA
1923,OATS,591e4,NA,NA,NA,36.2
1923,RYE,51e3,NA,NA,NA,16
1923,WHEAT,737e3,NA,NA,NA,18.6
1924,BARLEY,136e3,NA,NA,NA,29.7
1924,CORN_GRAIN,8767e3,NA,NA,NA,28
1924,FLAXSEED,8e3,NA,NA,NA,9.9
1924,HAY,3689e3,NA,NA,NA,NA
1924,OATS,595e4,NA,NA,NA,39.5
1924,RYE,39e3,NA,NA,NA,16.7
1924,SOYBEANS,1e4,NA,NA,NA,12
1924,WHEAT,455e3,NA,NA,NA,21.9
1925,BARLEY,175e3,NA,NA,NA,30.5
1925,CORN_GRAIN,9665e3,NA,NA,NA,43.9
1925,FLAXSEED,1e4,NA,NA,NA,10.5
1925,HAY,3338e3,NA,NA,NA,NA
1925,OATS,635e4,NA,NA,NA,39.2
1925,RYE,32e3,NA,NA,NA,16
1925,SOYBEANS,7e3,NA,NA,NA,14
1925,WHEAT,396e3,NA,NA,NA,16.3
1926,BARLEY,268e3,NA,NA,NA,28.5
1926,CORN_GRAIN,9515e3,NA,NA,NA,39
1926,FLAXSEED,15e3,NA,NA,NA,11
1926,HAY,3393e3,NA,NA,NA,NA
1926,OATS,635e4,NA,NA,NA,31.6
1926,RYE,31e3,NA,NA,NA,17
1926,SOYBEANS,1e4,NA,NA,NA,15
1926,WHEAT,387e3,NA,NA,NA,21.2
1927,BARLEY,454e3,NA,NA,NA,30
1927,CORN_GRAIN,9035e3,NA,NA,NA,35
1927,FLAXSEED,19e3,NA,NA,NA,10.5
